,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,JobsRetained,LoanCat
1683,"MONTGOMERY TRANSPORT, LLC",2563 COMMERCE CIRCLE,BIRMINGHAM,AL,35217.0,484121.0,Limited  Liability Company(LLC),500.0,a
1684,NAPHCARE US INC,2090 Columbiana Road,VESTAVIA HILLS,AL,35216.0,621399.0,Corporation,499.0,a
1685,NLOGIC LLC,4901 Corporate,HUNTSVILLE,AL,35805.0,541110.0,Limited  Liability Company(LLC),310.0,a
1686,NORTON LILLY INTERNATIONAL INC,1 SAINT LOUIS CENTRE STE 5000,MOBILE,AL,36602.0,488510.0,Corporation,413.0,a
1687,ONCOLOGY SPECIALTIES PC,2601 CCI DR,HUNTSVILLE,AL,35805.0,621112.0,Corporation,440.0,a
1688,"PARKER TOWING COMPANY, INC.",1001 3RD ST,NORTHPORT,AL,35476.0,483211.0,Corporation,373.0,a
1689,"PIGGLY WIGGLY ALABAMA DISTRIBUTING COMPANY, INC",2400 J Terrell Wooten Drive,BESSEMER,AL,35020.0,424410.0,Corporation,410.0,a
1690,"PINNACLE SOLUTIONS, INC.",5030 BRADFORD DR,HUNTSVILLE,AL,35805.0,336413.0,Corporation,419.0,a
1691,"QUALITY RESTAURANT CONCEPTS, LLC",VESTAVIA PKWY,VESTAVIA,AL,35216.0,722513.0,Limited  Liability Company(LLC),500.0,a
1692,RUSKEN PACKAGING INC,64 Walnut St NW,CULLMAN,AL,35055.0,322211.0,Subchapter S Corporation,500.0,a
1693,"SCOTCH PLYWOOD COMPANY, INC.",38 PO BOX,FULTON,AL,36446.0,321212.0,Subchapter S Corporation,426.0,a
1694,SECURITY ENGINEERS INC,1617 3rd Ave N,BIRMINGHAM,AL,35203.0,561612.0,Corporation,500.0,a
1695,"SIROTE & PERMUTT, PC",2311 HIGHLAND AVE,BIRMINGHAM,AL,35205.0,541110.0,Corporation,169.0,a
1696,"SOUTHERN FOODSERVICE MANAGEMENT, INC.",431 OFFICE PARK DR 1st Floor,MOUNTAIN BRK,AL,35223.0,722511.0,Corporation,500.0,a
1697,SOUTHERN RESEARCH INSTITUTE,2000 9TH AVE,BIRMINGHAM,AL,35205.0,541715.0,Non-Profit Organization,424.0,a
1698,SUMMITMEDIA LLC,2700 CORPORATE DR SUITE 115,BIRMINGHAM,AL,35242.0,515112.0,Limited  Liability Company(LLC),349.0,a
1699,"SUNSHINE MILLS, INC.",500 6TH ST SW,RED BAY,AL,35582.0,311111.0,Subchapter S Corporation,500.0,a
1700,"SYSTEM STUDIES & SIMULATION, INC.",615 DISCOVERY DRIVE,HUNTSVILLE,AL,35806.0,541690.0,Corporation,262.0,a
1701,"THE ORTHOPAEDIC CENTER, PC","927 Franklin Street 3rd floor,",HUNTSVILLE,AL,35801.0,621111.0,Subchapter S Corporation,460.0,a
1702,"TRIGREEN EQUIPMENT, LLC",1776 TRIGREEN DR,ATHENS,AL,35611.0,423820.0,Limited  Liability Company(LLC),425.0,a
1703,"TURENNE & ASSOCIATES, LLC",365 Industrial Park Blvd,MONTGOMERY,AL,36117.0,623110.0,Limited  Liability Company(LLC),500.0,a
1704,WOOD FRUITTICHER GROCERY COMPANY INC,2900 Alton Road,BIRMINGHAM,AL,35210.0,424410.0,Corporation,377.0,a
9524,ARKANSAS HOSPICE INC,14 PARKSTONE CIR,NORTH LITTLE ROCK,AR,72116.0,623311.0,Non-Profit Organization,441.0,a
9525,ARKANSAS PULMONARY CLINIC,9601 BAPTIST HEALTH DR STE 560,LITTLE ROCK,AR,72205.0,621111.0,Sole Proprietorship,5.0,a
9526,"CENTRAL RESEARCH, INC.",122 N. Bloomington St Ste 1,LOWELL,AR,72745.0,561440.0,Corporation,481.0,a
9527,"INCITE REHAB, LLC","824 Salem Road, Suite 210",CONWAY,AR,72034.0,621340.0,Limited  Liability Company(LLC),412.0,a
9528,"INTIMIDATOR, INC.",1 Bad Boy Blvd,BATESVILLE,AR,72501.0,332911.0,Subchapter S Corporation,266.0,a
9529,J.A. RIGGS TRACTOR COMPANY,9125 Interstate 30,LITTLE ROCK,AR,72209.0,333924.0,Subchapter S Corporation,,a
9530,MATHEWS MANAGEMENT CO,1468 E MOUNTAIN RD,SPRINGDALE,AR,72764.0,722513.0,Limited  Liability Company(LLC),500.0,a
9531,"MCC GROUP HOLDINGS, INC.",2300 North Lowell Road,SPRINGDALE,AR,72764.0,238220.0,Corporation,500.0,a
9532,"MEDICAL ASSOCIATES OF NWA, P.A.",3383 N MANA CT SUITE 201,FAYETTEVILLE,AR,72703.0,621111.0,Professional Association,500.0,a
9533,PERFECTVISION MANUFACTURING INC,16101 LaGrande Dr,LITTLE ROCK,AR,72223.0,423620.0,Corporation,391.0,a
9534,RAUSCH COLEMAN DEVELOPMENT GROUP INC,4058 N COLLEGE AVE,FAYETTEVILLE,AR,72703.0,236117.0,Corporation,250.0,a
9535,ROCK DENTAL MISSOURI LLC,500 SHALL ST A,LITTLE ROCK,AR,72202.0,621210.0,Limited  Liability Company(LLC),0.0,a
9536,"SGOH ACQUISITION, INC",1101 Jackson St SW,GRAVETTE,AR,72736.0,622110.0,Subchapter S Corporation,500.0,a
9537,"SOUTHERN PIPELINE CONSTRUCTION COMPANY, INC.",2600 Eastline Road,SEARCY,AR,72143.0,237120.0,Subchapter S Corporation,223.0,a
9538,SYSTEMS PLANT SERVICES INC,POBOX 11390,EL DORADO,AR,71730.0,236210.0,Corporation,500.0,a
9539,"THE PRICE COMPANIES, INC.","218 Midway Route,",MONTICELLO,AR,71655.0,322121.0,Subchapter S Corporation,500.0,a
9540,TRANSCO LINES INC.,401 N Arkansas St,RUSSELLVILLE,AR,72801.0,484121.0,Corporation,463.0,a
9541,"VCC, LLC","1 Information Way, Ste. 300",LITTLE ROCK,AR,72202.0,531120.0,Limited  Liability Company(LLC),266.0,a
9542,WELSPUN PIPES INC,9301 FRAZIER PIKE,LITTLE ROCK,AR,72206.0,331210.0,Limited  Liability Company(LLC),500.0,a
13799,AKDHC LLC,3333 E CAMELBACK,PHOENIX,AZ,85018.0,621111.0,Limited  Liability Company(LLC),438.0,a
13800,ALCANTAR MARKETING LLC,3930 E. University Dr,MESA,AZ,85205.0,524130.0,Corporation,2.0,a
13801,AMERIFIRST FINANCIAL INC,"1550 E MCKELLIPS RD, STE 117",MESA,AZ,85203.0,523999.0,Subchapter S Corporation,471.0,a
13802,"ARIZONA COMMUNITY PHYSICIANS, P.C.",5055 E BROADWAY BLVD Ste A100,TUCSON,AZ,85711.0,621111.0,Corporation,500.0,a
13803,ATRIUM FINANCE I LP,2398 E CAMELBACK RD STE 1000,PHOENIX,AZ,85016.0,721110.0,Partnership,0.0,a
13804,"CANNON & WENDT ELECTRIC CO., INC.",4020 N. 16th St.,PHOENIX,AZ,85016.0,238210.0,Employee Stock Ownership Plan(ESOP),0.0,a
13805,CHILDRENS LEARNING ADVENTURE USA LLC,14631 N SCOTTSDALE RD SUITE 200,SCOTTSDALE,AZ,85254.0,624410.0,Limited  Liability Company(LLC),,a
13806,"CONNECTIONS HEALTH SOLUTIONS, LLC",2394 E CAMELBACK RD STE 200,PHOENIX,AZ,85016.0,621420.0,Limited  Liability Company(LLC),500.0,a
13807,"CONSTRUCTION GROUP STAFFING, LLC",8712 E Via de Commercia Suite 2,SCOTTSDALE,AZ,85258.0,561320.0,Subchapter S Corporation,500.0,a
13808,"DAWG, INC.",15685 N CAVE CREEK RD,PHOENIX,AZ,85032.0,561320.0,Subchapter S Corporation,349.0,a
13809,"DESERT STONE ARCH PROPERTIES, LLC (EPC)",2810 S. SOSSAMAN RD STE 106,MESA,AZ,85212.0,561710.0,Limited  Liability Company(LLC),500.0,a
13810,"EVO TRANSPORTATION & ENERGY SERVICES, INC.",2075 West Pinnacle Peak Rd. Ste. 130,PHOENIX,AZ,85027.0,488510.0,Corporation,500.0,a
13811,FPR-II LLC,5310 E HIGH ST SUITE 300,PHOENIX,AZ,85054.0,561320.0,Corporation,,a
13812,HAYDON BUILDING CORP,4640 EAST COTTON GIN LOOP,PHOENIX,AZ,85040.0,236220.0,Corporation,436.0,a
13813,HEALTH SERVICES HOLDINGS INC,3133 East Camelback Road,PHOENIX,AZ,85016.0,621111.0,Corporation,378.0,a
13814,"HOME HEALTH AGENCY - ARIZONA, LLC",2999 N44th Street Suite 100,PHOENIX,AZ,85018.0,621610.0,Limited  Liability Company(LLC),500.0,a
13815,"HOMEOWNERS FINANCIAL GROUP USA, LLC",16427 N SCOTTSDALE RD STE 145,SCOTTSDALE,AZ,85254.0,522292.0,Limited  Liability Company(LLC),382.0,a
13816,HOT PIZZAS LLC,3845 Stockton Hill Rd,KINGMAN,AZ,86409.0,722513.0,Subchapter S Corporation,500.0,a
13817,HOT TACOS INC,3845 Stockton Hill Rd,KINGMAN,AZ,86409.0,722513.0,Subchapter S Corporation,500.0,a
13818,INT TECHNOLOGIES LLC,4862 E BASELINE RD STE 104,MESA,AZ,85206.0,541519.0,Limited  Liability Company(LLC),278.0,a
13819,"JFQ LENDING, INC",15051 N Kierland Blvd Suite 280,SCOTTSDALE,AZ,85254.0,522310.0,Subchapter S Corporation,305.0,a
13820,KALIL BOTTLING CO.,P.O. Box 26888 0.0,TUCSON,AZ,85726.0,312111.0,Corporation,500.0,a
13821,LEWIS ROCA ROTHGERBER CHRISTIE LLP,201 E. Washington St.,PHOENIX,AZ,85004.0,541110.0,Partnership,418.0,a
13822,LIFEWELL BEHAVIORAL WELLNESS,202 East Earll Dr. Ste. 200,PHOENIX,AZ,85012.0,813410.0,Non-Profit Organization,,a
13823,M3 ENGINEERING & TECHNOLOGY CORPORATION,2051 SUNSET RD SUITE 101,TUCSON,AZ,85704.0,541330.0,Corporation,300.0,a
13824,MCDONOUGH CORPORATION,21050 North Pima Road Ste 100,SCOTTSDALE,AZ,85255.0,493110.0,Corporation,358.0,a
13825,"MODERN INDUSTRIES, INC.",4747 E Beautiful Ln,PHOENIX,AZ,85044.0,333242.0,Corporation,478.0,a
13826,MOON VALLEY NURSERY FARM HOLDINGS LLC,19820 N 7TH ST STE 260,PHOENIX,AZ,85024.0,111421.0,Limited  Liability Company(LLC),319.0,a
13827,"MORRISON, EKRE & BART MANAGEMENT SERVICES, INC.",120 E CONGRESS ST,TUCSON,AZ,85701.0,531110.0,Corporation,500.0,a
13828,"MT. GRAHAM REGIONAL MEDICAL CENTER, INC.",1600 S. 20th Avenue,SAFFORD,AZ,85546.0,622110.0,Non-Profit Organization,381.0,a
13829,NAVAJO TRIBAL UTILITY AUTHORITY,PO Box 170,FORT DEFIANCE,AZ,86504.0,221122.0,Non-Profit Organization,500.0,a
13830,"NEXTIVA, INC.",8880 E CHAPPARAL RD SUITE 300,SCOTTSDALE,AZ,85250.0,517311.0,Corporation,500.0,a
13831,"ON Q FINANCIAL, INC.","615 S. River Dr., Ste. 170",TEMPE,AZ,85281.0,522390.0,Subchapter S Corporation,481.0,a
13832,"OREGANO'S PIZZA BISTRO, INC.",8300 N HAYDEN RD STE A207,SCOTTSDALE,AZ,85258.0,722511.0,Corporation,500.0,a
13833,ORTHOPEDIC SPECIALISTS OF NORTH AMERICA PLLC,4222 E THOMAS RD STE 250,PHOENIX,AZ,85018.0,621111.0,Limited  Liability Company(LLC),500.0,a
13834,"P.F. CHANG'S CHINA BISTRO, INC.",8377 E HARTFORD DR Ste 200,SCOTTSDALE,AZ,85255.0,722511.0,Corporation,500.0,a
13835,"PAUL JOHNSON DRYWALL, INC.",1620 WILLOW CREEK RD,PRESCOTT,AZ,86301.0,238310.0,Subchapter S Corporation,200.0,a
13836,PLEXUS WORLDWIDE LLC,15649 GREENWAY HAYDEN LOOP,SCOTTSDALE,AZ,85260.0,423110.0,Limited  Liability Company(LLC),250.0,a
13837,"PUEBLO MECHANICAL AND CONTROLS, LLC",6771 E OUTLOOK DR,TUCSON,AZ,85756.0,238220.0,Subchapter S Corporation,480.0,a
13838,RANGO INC,4215 E McDowell Rd,MESA,AZ,85215.0,238990.0,Subchapter S Corporation,420.0,a
13839,"ROMULUS RESTAURANTS, LLC",1048 n 44th street suite 210,PHOENIX,AZ,85008.0,722511.0,Limited  Liability Company(LLC),500.0,a
13840,"SDB, INC.",1001 S Edward Dr,TEMPE,AZ,85281.0,236220.0,Subchapter S Corporation,250.0,a
13841,"SDI SERVICES, LLC",9700 N 91st St. STE C200,SCOTTSDALE,AZ,85258.0,621512.0,Limited  Liability Company(LLC),250.0,a
13842,SERRATO CORPORATION,135 COUNCIL ST W,TUCSON,AZ,85701.0,611519.0,Corporation,500.0,a
13843,"SFE HOLDINGS, LLC",9366 East Raintree Drive,SCOTTSDALE,AZ,85260.0,722310.0,Limited  Liability Company(LLC),500.0,a
13844,SHARED STAFFING SERVICES LLC,14605 North 73rd St,SCOTTSDALE,AZ,85260.0,561320.0,Limited  Liability Company(LLC),449.0,a
13845,"SMI IMAGING, LLC",6900 E Camelback Rd,SCOTTSDALE,AZ,85251.0,621111.0,Limited  Liability Company(LLC),500.0,a
13846,"STARCORP, LLC","20 E Thomas Rd., Suite 2200",PHOENIX,AZ,85012.0,722513.0,Limited  Liability Company(LLC),500.0,a
13847,"STINE ENTERPRISES, INC.",10851 BLACK CANYON HWY #850,PHOENIX,AZ,85029.0,722513.0,Subchapter S Corporation,0.0,a
13848,"TERROS, INC",3003 N CENTRAL AVE STE 400,PHOENIX,AZ,85012.0,624190.0,Corporation,500.0,a
13849,TIFFANY & BOSCO P.A.,2525 E CAMELBACK RD,PHOENIX,AZ,85016.0,541110.0,Professional Association,259.0,a
13850,TOTAL TRANSIT INC.,6421 E. LAFAYETTE BLVD,SCOTTSDALE,AZ,85251.0,485111.0,Corporation,485.0,a
13851,"UPWARD PROJECTS HOLDINGS, LLC",3443 N CENTRAL AVE,PHOENIX,AZ,85012.0,722511.0,Limited  Liability Company(LLC),500.0,a
13852,"US TRADES, L.L.C.",7100 E Cave Creek Rd Suite 118,CAVE CREEK,AZ,85331.0,561320.0,Corporation,330.0,a
13853,"V.I.P. MORTGAGE, INC.",9921 E VIA DE VENTURA,SCOTTSDALE,AZ,85258.0,522292.0,Corporation,441.0,a
13854,VINCENTBENJAMIN GROUP LLC,2415 E Camelback Rd Ste 1000,PHOENIX,AZ,85016.0,561311.0,Limited  Liability Company(LLC),500.0,a
13855,"W2005 WKI REALTY, LLC",2398 E CAMELBACK RD,PHOENIX,AZ,85016.0,721110.0,Limited  Liability Company(LLC),442.0,a
13856,WESTERN INDUSTRIAL RESOURCES CORP,3640 S. Cactus Rd.,APACHE JUNCTION,AZ,85119.0,811310.0,Subchapter S Corporation,372.0,a
25125,"220 LABORATORIES, INC.",2375 Third Street,RIVERSIDE,CA,92507.0,325620.0,Subchapter S Corporation,500.0,a
25126,A-C ELECTRIC COMPANY,2921 HANGER WAY,BAKERSFIELD,CA,93308.0,238210.0,Corporation,341.0,a
25127,A.O. REED & CO,4777 RUFFNER ST,SAN DIEGO,CA,92111.0,238220.0,Corporation,477.0,a
25128,"AARON THOMAS COMPANY, INC",7421 CHAPMAN AVANUE,GARDEN GROVE,CA,92841.0,561910.0,Subchapter S Corporation,500.0,a
25129,"ACCURATE BACKGROUND, LLC",7515 Irvine Center Drive,IRVINE,CA,92618.0,561611.0,Limited  Liability Company(LLC),500.0,a
25130,"ADVANCED CHEMICAL TRANSPORT, INC., A CALIFORNIA CORPORATION",967 MABURY RD,SAN JOSE,CA,95133.0,562910.0,Subchapter S Corporation,407.0,a
25131,ADVANCED FRESH CONCEPTS FRANCHISE CORP.,19205 South Laurel Park Road,RANCHO DOMINGUEZ,CA,90220.0,722513.0,Sole Proprietorship,420.0,a
25132,ADVANCED SYSTEMS GROUP,1226 Powell St.,EMERYVILLE,CA,94608.0,423410.0,Limited  Liability Company(LLC),300.0,a
25133,ADVANTAGE MAILING INC.,1600 N KRAEMER BLVD,ANAHEIM,CA,92806.0,323111.0,Limited  Liability Company(LLC),372.0,a
25134,"AGREEYA SOLUTIONS, INC.","605 Coolidge Dr., STE 200",FOLSOM,CA,95630.0,541511.0,Subchapter S Corporation,397.0,a
25135,AIR SYSTEMS OF SACRAMENTO INC,10381 OLD PLACERVILLE RD,SACRAMENTO,CA,95827.0,238220.0,Corporation,203.0,a
25136,"AIRPORT TERMINAL MANAGEMENT, INC.",216 W. FLORENCE AVE,INGLEWOOD,CA,90301.0,488190.0,Corporation,450.0,a
25137,"AKASH MANAGEMENT, LLC",716 CORPORATE CENTER DR,POMONA,CA,91768.0,722513.0,Limited  Liability Company(LLC),500.0,a
25138,ALATUS AEROSYSTEMS,17055 GALE AVE,CITY OF INDUSTRY,CA,91745.0,336413.0,Corporation,333.0,a
25139,ALIA CORP,140 Heron Way 0.0,MERCED,CA,95341.0,722513.0,Corporation,500.0,a
25140,"ALL ENVIRONMENTAL, INC.",2500 CAMINO DIABLO,WALNUT CREEK,CA,94597.0,541620.0,Corporation,277.0,a
25141,ALLEN MATKINS LECK GAMBLE MALLORY & NATSIS LLP,865 S. FIGUEROA ST SUITE 2800,LOS ANGELES,CA,90017.0,541110.0,Limited Liability Partnership,267.0,a
25142,"ALSTON CONSTRUCTION CO., INC.",8775 FOLSOM BLVD Ste. 201,SACRAMENTO,CA,95826.0,236210.0,Corporation,374.0,a
25143,"ALUMINUM PRECISION PRODUCTS, INC.",3333 W Warner Avenue,SANTA ANA,CA,92704.0,332112.0,Corporation,100.0,a
25144,"AMERICAN GUARD SERVICES, INC.",1125 west 190th Street,GARDENDA,CA,90248.0,561612.0,Corporation,500.0,a
25145,AMERICAN HOSPITAL MANAGEMENT CORP,3800 JANES RD PO BOX 1115,ARCATA,CA,95518.0,622110.0,Corporation,472.0,a
25146,AMERICAN INCORPORATED,1345 AMERICAN ST,VISALIA,CA,93291.0,238220.0,Subchapter S Corporation,476.0,a
25147,AMERICAN INTEGRATED SERVICES INC.,1502 E Opp St.,WILMINGTON,CA,90744.0,562910.0,Sole Proprietorship,322.0,a
25148,"AMYRIS, INC.",5885 Hollis St. Ste 100,EMERYVILLE,CA,94608.0,325199.0,Corporation,440.0,a
25149,ANDREW CHEKENE ENTERPRISES INC,21965 Meekland Ave,HAYWARD,CA,94541.0,236115.0,Subchapter S Corporation,272.0,a
25150,"ANESTHESIA SERVICE MEDICAL GROUP, INC",3626 Ruffin Rd,SAN DIEGO,CA,92123.0,621111.0,Corporation,262.0,a
25151,ANTELOPE VALLEY LEARNING ACADEMY INC,177 HOLSTON DR,LANCASTER,CA,93535.0,611110.0,Non-Profit Organization,478.0,a
25152,"APEX INNOVATIVE SCIENCES, INC.","12772 VALLEY VIEW ST, Siute 3",GARDEN GROVE,CA,92845.0,621399.0,Corporation,396.0,a
25153,APR CONSULTING INC,1370 VALLEY VISTA DRIVE SUITE 280,DIAMOND BAR,CA,91765.0,561311.0,Corporation,0.0,a
25154,ARBORWORKS INC,6090 KEEBLE LANE,CAMINO,CA,95709.0,561730.0,Corporation,,a
25155,ARCH LEGACY VENTURES INC.,1940  W. CORPORATE WAY,ANAHEIM,CA,92801.0,517312.0,Corporation,500.0,a
25156,ARCHITECTS ORANGE,144 N. ORANGE ST,ORANGE,CA,92866.0,541310.0,Corporation,289.0,a
25157,ARETE ASSOCIATES,"9301 Corbin Avenue, Suite 2000",NORTHRIDGE,CA,91324.0,541715.0,Corporation,296.0,a
25158,"ASC STAFFING GROUP, LLC",888 PROSPECT ST,LA JOLLA,CA,92037.0,561311.0,Limited  Liability Company(LLC),500.0,a
25159,ASIAN HEALTH SERVICES,101 8TH ST Suite 100,OAKLAND,CA,94607.0,621498.0,Non-Profit Organization,0.0,a
25160,"ASSOCIATED MICROBREWERIES, LTD","5965 SANTA FE ST, STE E",SAN DIEGO,CA,92109.0,722511.0,Partnership,0.0,a
25161,"ATKINSON, ANDELSON, LOYA, RUUD AND ROMO",12800 Center Court Drive Suite 300,CERRITOS,CA,90703.0,541110.0,Corporation,327.0,a
25162,ATLAS MORTGAGE LENDING LLC,180 Redwood Street,SAN FRANCISCO,CA,94102.0,522292.0,Limited  Liability Company(LLC),,a
25163,"ATV, INC.",4490 Ayers Avenue,VERNON,CA,90058.0,441320.0,Subchapter S Corporation,426.0,a
25164,AVID CENTER,9797 Aero Drive STE 100,SAN DIEGO,CA,92123.0,611430.0,Non-Profit Organization,448.0,a
25165,AYRES GROUP,"355 Bristol Street, Suite A",COSTA MESA,CA,92626.0,721110.0,Corporation,500.0,a
25166,BACKROADS,801 CEDAR STREET,BERKELEY,CA,94710.0,561520.0,Corporation,,a
25167,BARLOW RESPIRATORY HOSPITAL,2000 Stadium Way,LOS ANGELES,CA,90026.0,622110.0,Non-Profit Organization,450.0,a
25168,BARTELL HOTELS,4875 N Harbor Drive,SAN DIEGO,CA,92106.0,721110.0,Partnership,500.0,a
25169,"BAY AREA COMMUNITY RESOURCES, INC.",171 CARLOS DR,SAN RAFAEL,CA,94903.0,624190.0,Non-Profit Organization,500.0,a
25170,BAY AREA TRAFFIC SOLUTIONS INC,44800 Industrial Drive,FREMONT,CA,94538.0,561990.0,Corporation,312.0,a
25171,BAY CITIES PAVING & GRADING INC,1450 CIVIC CT BUILDING B STE 400,CONCORD,CA,94520.0,237310.0,Corporation,246.0,a
25172,"BAY CITY MECHANICAL, INC",870 Harbour Way South,RICHMOND,CA,94804.0,238220.0,Subchapter S Corporation,270.0,a
25173,BAY MARITIME CORP,2900 MAIN ST,ALAMEDA,CA,94501.0,541330.0,Corporation,440.0,a
