,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,JobsRetained,LoanCat,full_addr
1716,"AMERICAN TANK & VESSEL, INC.",1005 Government St,MOBILE,AL,36604.0,332420.0,Corporation,0.0,b,"1005 Government St, MOBILE, AL"
1717,ARLINGTON PROPERTIES INC,2200 MAGNOLIA AVE SUITE 101,BIRMINGHAM,AL,35205.0,531110.0,Corporation,343.0,b,"2200 MAGNOLIA AVE SUITE 101, BIRMINGHAM, AL"
1718,"ASK TELEMARKETING, INC.",5665 CARMICHAEL RD,MONTGOMERY,AL,36117.0,561422.0,Corporation,438.0,b,"5665 CARMICHAEL RD, MONTGOMERY, AL"
1719,"AVANTI POLAR LIPIDS, INC.",700 INDUSTRIAL PARK DR,ALABASTER,AL,35007.0,325411.0,Corporation,155.0,b,"700 INDUSTRIAL PARK DR, ALABASTER, AL"
1720,B R WILLIAMS TRUCKING INC,2339 AL HIGHWAY 21 SOUTH,OXFORD,AL,36203.0,484121.0,Corporation,250.0,b,"2339 AL HIGHWAY 21 SOUTH, OXFORD, AL"
1721,"BAGBY & RUSSELL ELECTRIC CO., INC.",5500 PLANTATION RD,THEODORE,AL,36582.0,238210.0,Subchapter S Corporation,151.0,b,"5500 PLANTATION RD, THEODORE, AL"
1722,BAKER FOODS INC,PO Box 55,TALLADEGA,AL,35161.0,445110.0,Corporation,483.0,b,"PO Box 55, TALLADEGA, AL"
1724,BEARD EQUIPMENT COMPANY,2480 EAST I65 SERVICE ROAD N,MOBILE,AL,36617.0,453998.0,Corporation,357.0,b,"2480 EAST I65 SERVICE ROAD N, MOBILE, AL"
1725,"BEASLEY, ALLEN, CROW, METHVIN, PORTIS & MILES, P.C.",218 COMMERCE ST,MONTGOMERY,AL,36104.0,541110.0,Corporation,277.0,b,"218 COMMERCE ST, MONTGOMERY, AL"
1726,"BHATE ENVIRONMENTAL ASSOCIATES, INC",1608 13th Avenue South,BIRMINGHAM,AL,35205.0,562910.0,Corporation,124.0,b,"1608 13th Avenue South, BIRMINGHAM, AL"
1727,"BIJ MOTORS AL, LLC",750 MERCEDES WAY,IRONDALE,AL,35210.0,441110.0,Limited  Liability Company(LLC),202.0,b,"750 MERCEDES WAY, IRONDALE, AL"
1728,"BIRMINGHAM FASTENER & SUPPLY, INCORPORATED",931 AVE W,BIRMINGHAM,AL,35214.0,238190.0,Corporation,394.0,b,"931 AVE W, BIRMINGHAM, AL"
1729,BIRMINGHAM HEMATOLOGY & ONCOLOGY ASSOCIATES LLC,500 OFFICE PARK DR Suite 400,MOUNTAIN BRK,AL,35223.0,621111.0,Limited  Liability Company(LLC),265.0,b,"500 OFFICE PARK DR Suite 400, MOUNTAIN BRK, AL"
1730,BIRMINGHAM-SOUTHERN COLLEGE,900 ARKADELPHIA RD,BIRMINGHAM,AL,35254.0,611310.0,Non-Profit Organization,349.0,b,"900 ARKADELPHIA RD, BIRMINGHAM, AL"
1731,"BLOX, LLC",2625 5TH AVENUE NORTH BLDG C,BESSEMER,AL,35020.0,332311.0,Limited  Liability Company(LLC),318.0,b,"2625 5TH AVENUE NORTH BLDG C, BESSEMER, AL"
1732,BMSS LLC,1121 RiverChase Office Rd,BIRMINGHAM,AL,35244.0,541211.0,Limited  Liability Company(LLC),223.0,b,"1121 RiverChase Office Rd, BIRMINGHAM, AL"
1733,BOLTA US LTD,1650 Boone Blvd,NORTHPORT,AL,35476.0,336390.0,Limited  Liability Company(LLC),268.0,b,"1650 Boone Blvd, NORTHPORT, AL"
1734,BONDY'S FORD INC,3615 ROSS CLARK CIR,DOTHAN,AL,36303.0,441110.0,Corporation,223.0,b,"3615 ROSS CLARK CIR, DOTHAN, AL"
1735,"BOONE NEWSPAPERS, INC.",3933 Rice Mine Rd Suite 103,TUSCALOOSA,AL,35406.0,511110.0,Corporation,0.0,b,"3933 Rice Mine Rd Suite 103, TUSCALOOSA, AL"
1736,BRETT ROBINSON GULF CORPORATION,3259 GULF SHORES PKWY,GULF SHORES,AL,36542.0,531311.0,Corporation,443.0,b,"3259 GULF SHORES PKWY, GULF SHORES, AL"
1737,BRIGHT FUTURE ELECTRIC LLC,3420 RICHARD ARRINGTON JR BLVD N,BIRMINGHAM,AL,35234.0,238210.0,Limited  Liability Company(LLC),439.0,b,"3420 RICHARD ARRINGTON JR BLVD N, BIRMINGHAM, AL"
1738,BROOK VALLEY THRIFT STORES INC,4880 VALLEYDALE RD,BIRMINGHAM,AL,35242.0,453310.0,Subchapter S Corporation,500.0,b,"4880 VALLEYDALE RD, BIRMINGHAM, AL"
1739,"BUDDY MOORE TRUCKING, INC",925 34th Street North,BIRMINGHAM,AL,35222.0,484121.0,Corporation,250.0,b,"925 34th Street North, BIRMINGHAM, AL"
1740,"BUILDING & EARTH SCIENCES, INC.",5545 Derby Drive,IRONDALE,AL,35210.0,541330.0,Subchapter S Corporation,202.0,b,"5545 Derby Drive, IRONDALE, AL"
1741,BULLARD MANAGEMENT CORPORATION,1419 East 1-65 Service Road,MOBILE,AL,36616.0,561110.0,Corporation,208.0,b,"1419 East 1-65 Service Road, MOBILE, AL"
1742,BURFORD'S CONSTRUCTION LLC,11519 STEMLEY RD,LINCOLN,AL,35096.0,238910.0,Limited  Liability Company(LLC),235.0,b,"11519 STEMLEY RD, LINCOLN, AL"
1743,"BUY-LO QUALITY FOOD STORES, INC.",3605 8th Ave S,BIRMINGHAM,AL,35222.0,445110.0,Corporation,495.0,b,"3605 8th Ave S, BIRMINGHAM, AL"
1744,BYRD MAINTENANCE SERVICES,3172 Highway 20 West,DECATUR,AL,35601.0,238990.0,Corporation,109.0,b,"3172 Highway 20 West, DECATUR, AL"
1745,"CAH HOLDINGS, INC.",115 OFFICE PARK DR,MOUNTAIN BRK,AL,35223.0,524210.0,Corporation,230.0,b,"115 OFFICE PARK DR, MOUNTAIN BRK, AL"
1746,CAHABA MEDICAL CARE FOUNDATION,405 BELCHER ST,CENTREVILLE,AL,35042.0,621111.0,Non-Profit Organization,288.0,b,"405 BELCHER ST, CENTREVILLE, AL"
1747,CAPSTONE REAL ESTATE INVESTMENTS LLC,402 OFFICE PARK DRIVE SUITE 150,BIRMINGHAM,AL,35223.0,531110.0,Limited  Liability Company(LLC),276.0,b,"402 OFFICE PARK DRIVE SUITE 150, BIRMINGHAM, AL"
1748,"CARDIOLOGY ASSOCIATES OF MOBILE, INC",3715 DAUPHIN ST Suite 1100,MOBILE,AL,36608.0,621111.0,Corporation,268.0,b,"3715 DAUPHIN ST Suite 1100, MOBILE, AL"
1749,"CARR, ALLISON, OLIVER & SISSON, P.C.",100 VESTAVIA PKWY,VESTAVIA,AL,35216.0,541110.0,Corporation,245.0,b,"100 VESTAVIA PKWY, VESTAVIA, AL"
1750,CEFCO NATIONAL CLAIMS SERVICES INC.,2928 N MCVAY DR,MOBILE,AL,36606.0,524210.0,Corporation,120.0,b,"2928 N MCVAY DR, MOBILE, AL"
1751,CENTURY AUTOMOTIVE GROUP INC,3800 UNIVERSITY DR,HUNTSVILLE,AL,35816.0,441110.0,Corporation,155.0,b,"3800 UNIVERSITY DR, HUNTSVILLE, AL"
1752,CFD RESEARCH CORPORATION,6820 MOQUIN DR,HUNTSVILLE,AL,35806.0,541330.0,Corporation,152.0,b,"6820 MOQUIN DR, HUNTSVILLE, AL"
1753,CHAMBERS BOTTLING COMPANY LLC,2700 Meridian St,HUNTSVILLE,AL,35811.0,312111.0,Limited  Liability Company(LLC),189.0,b,"2700 Meridian St, HUNTSVILLE, AL"
1754,"CHAMPION REHAB RESOURCES, LLC",1514 Owens St.,GADSDEN,AL,35904.0,621399.0,Limited  Liability Company(LLC),325.0,b,"1514 Owens St., GADSDEN, AL"
1755,"CHOICE FABRICATORS, INC",3155 Steele Station Road,GADSDEN,AL,35906.0,238120.0,Corporation,270.0,b,"3155 Steele Station Road, GADSDEN, AL"
1756,"COLORMASTERS, LLC",632 Smith Road,ALBERTVILLE,AL,35950.0,326111.0,Limited  Liability Company(LLC),399.0,b,"632 Smith Road, ALBERTVILLE, AL"
1757,"COMPENSATION SOLUTIONS, INC",833 Green Springs Highway 101,BIRMINGHAM,AL,35209.0,541214.0,Corporation,290.0,b,"833 Green Springs Highway 101, BIRMINGHAM, AL"
1758,"CONTRACTOR SERVICE & FABRICATION, INC.",3428 HIGHWAY 20,DECATUR,AL,35601.0,238990.0,Subchapter S Corporation,227.0,b,"3428 HIGHWAY 20, DECATUR, AL"
1759,COWIN EQUIPMENT COMPANY INC.,2238 PINSON VALLEY PARKWAY,BIRMINGHAM,AL,35217.0,423810.0,Corporation,244.0,b,"2238 PINSON VALLEY PARKWAY, BIRMINGHAM, AL"
1760,CRANEWORKS INC.,PO Box 336,BIRMINGHAM,AL,35201.0,238990.0,Corporation,179.0,b,"PO Box 336, BIRMINGHAM, AL"
1761,"CRITERIA CONSTRUCTION, LLC",9794 Timber Circle,DAPHNE,AL,36527.0,236115.0,Limited  Liability Company(LLC),195.0,b,"9794 Timber Circle, DAPHNE, AL"
1762,CU EMPLOYMENT INC,2552 18th Street South,BIRMINGHAM,AL,35209.0,811213.0,Corporation,363.0,b,"2552 18th Street South, BIRMINGHAM, AL"
1763,"D & F EQUIPMENT SALES, INC.",8641 HWY 227 N,CROSSVILLE,AL,35962.0,332999.0,Limited  Liability Company(LLC),234.0,b,"8641 HWY 227 N, CROSSVILLE, AL"
1764,DAEWON AMERICA INC,4600 North PARK DR,OPELIKA,AL,36801.0,336111.0,Corporation,209.0,b,"4600 North PARK DR, OPELIKA, AL"
1765,DALE COUNTY HEALTH CARE AUTHORITY,126 HOSPITAL AVE,OZARK,AL,36360.0,622110.0,Non-Profit Organization,364.0,b,"126 HOSPITAL AVE, OZARK, AL"
1766,DAS NORTH AMERICA INC.,840 Industrial Park Blvd,MONTGOMERY,AL,36117.0,541990.0,Subchapter S Corporation,490.0,b,"840 Industrial Park Blvd, MONTGOMERY, AL"
1768,DECIBEL RESEARCH INC,325 BOB HEATH,HUNTSVILLE,AL,35806.0,541330.0,Corporation,101.0,b,"325 BOB HEATH, HUNTSVILLE, AL"
1769,"DEER VALLEY HOMEBUILDERS, INC.",205 Carriage St,GUIN,AL,35563.0,321992.0,Corporation,265.0,b,"205 Carriage St, GUIN, AL"
1770,"DIOCESE OF BIRMINGHAM IN ALABAMA, A CORPORATION SOLE",2121 3rd Avenue North,BIRMINGHAM,AL,35203.0,813110.0,Non-Profit Organization,0.0,b,"2121 3rd Avenue North, BIRMINGHAM, AL"
1771,DOSTER CONSTRUCTION COMPANY INC,2100 INTERNATIONAL PARK DRIVE,BIRMINGHAM,AL,35243.0,236118.0,Corporation,209.0,b,"2100 INTERNATIONAL PARK DRIVE, BIRMINGHAM, AL"
1772,ENERGY SYSTEMS SOUTHEAST LLC,3235 VETERANS CIR,BIRMINGHAM,AL,35235.0,454390.0,Limited  Liability Company(LLC),192.0,b,"3235 VETERANS CIR, BIRMINGHAM, AL"
1773,EPISCOPAL FOUNDATION OF JEFFERSON COUNTY,4941 MONTEVALLO RD,IRONDALE,AL,35210.0,813110.0,Non-Profit Organization,373.0,b,"4941 MONTEVALLO RD, IRONDALE, AL"
1774,ERICA LANE ENTERPRISES,3226 BOB WALLACE AVE SW,HUNTSVILLE,AL,35805.0,541512.0,Subchapter S Corporation,297.0,b,"3226 BOB WALLACE AVE SW, HUNTSVILLE, AL"
1775,ESCAMBIA COUNTY HEALTHCARE AUTHORITY,1301 BELLEVILLE AVE D. W. McMillan Memorial Hospital,BREWTON,AL,36426.0,622110.0,Non-Profit Organization,280.0,b,"1301 BELLEVILLE AVE D. W. McMillan Memorial Hospital, BREWTON, AL"
1776,"ETERNAL WORD TELEVISION NETWORK, INC.",5817 OLD LEEDS RD,BIRMINGHAM,AL,35210.0,515120.0,Corporation,0.0,b,"5817 OLD LEEDS RD, BIRMINGHAM, AL"
1777,"EYE PARTNERS, P.C.",2800 Ross Clark Circle Suite 1,DOTHAN,AL,36301.0,621320.0,Corporation,243.0,b,"2800 Ross Clark Circle Suite 1, DOTHAN, AL"
1778,"FABARC STEEL SUPPLY, INC.",111 MEADOW LN,OXFORD,AL,36203.0,332312.0,Corporation,254.0,b,"111 MEADOW LN, OXFORD, AL"
1779,"FASTENING SOLUTIONS, INC.",SELMA HWY,MONTGOMERY,AL,36108.0,423840.0,Corporation,152.0,b,"SELMA HWY, MONTGOMERY, AL"
1780,FAULKNER UNIVERSITY,5345 Atlanta Highway,MONTGOMERY,AL,36109.0,611310.0,Non-Profit Organization,494.0,b,"5345 Atlanta Highway, MONTGOMERY, AL"
1781,FIVE STONES RESEARCH CORPORATION,5767 COVE COMMONS DR SUITE 103,BROWNSBORO,AL,35741.0,541330.0,Corporation,231.0,b,"5767 COVE COMMONS DR SUITE 103, BROWNSBORO, AL"
1782,FLEXFORCE EMPLOYMENT PROFESSIONALS,833 GREEN SPRINGS HWY Ste 101,BIRMINGHAM,AL,35209.0,541214.0,Corporation,300.0,b,"833 GREEN SPRINGS HWY Ste 101, BIRMINGHAM, AL"
1783,"FLOWERWOOD NURSERY, INC.",15315 Kelly Road,LOXLEY,AL,36551.0,111421.0,Corporation,0.0,b,"15315 Kelly Road, LOXLEY, AL"
1784,"FM COAL, LLC",P.O. Box 1608,JASPER,AL,35502.0,212111.0,Limited  Liability Company(LLC),197.0,b,"P.O. Box 1608, JASPER, AL"
1785,"FORSTER & HOWELL, INC",2572 FORTNER STREET,DOTHAN,AL,36305.0,445110.0,Corporation,445.0,b,"2572 FORTNER STREET, DOTHAN, AL"
1786,"FOUR STAR FREIGHTLINER, INC.",PO BOX 6569,DOTHAN,AL,36302.0,423110.0,Corporation,200.0,b,"PO BOX 6569, DOTHAN, AL"
1787,"FRANKLIN PRIMARY HEALTH CENTER, INC.",1303 Dr Martin Luther King Jr Ave,MOBILE,AL,36603.0,621498.0,Non-Profit Organization,282.0,b,"1303 Dr Martin Luther King Jr Ave, MOBILE, AL"
1788,"GABRIELLA WHITE, LLC",3140 Pelham Parkway,PELHAM,AL,35124.0,423210.0,Limited  Liability Company(LLC),323.0,b,"3140 Pelham Parkway, PELHAM, AL"
1789,"GATEWAY MANAGEMENT COMPANY, LLC",920 Florence Blvd.,FLORENCE,AL,35630.0,531312.0,Limited  Liability Company(LLC),308.0,b,"920 Florence Blvd., FLORENCE, AL"
1790,GENERAL INSULATION INC,3555 HURRICANE BAY DR,THEODORE,AL,36582.0,238990.0,Corporation,384.0,b,"3555 HURRICANE BAY DR, THEODORE, AL"
1792,"GENEVA COUNTY HEALTH CARE AUTHORITY, INC",1200 W MAPLE AVE,GENEVA,AL,36340.0,923120.0,Non-Profit Organization,398.0,b,"1200 W MAPLE AVE, GENEVA, AL"
1793,GEOGRAPHIC INFORMATION SERVICES,2100 RIVERCHASE CTR STE 105,HOOVER,AL,35244.0,541511.0,Corporation,136.0,b,"2100 RIVERCHASE CTR STE 105, HOOVER, AL"
1794,"GLENWOOD, INC",150 Glenwood Ln,BIRMINGHAM,AL,35242.0,621420.0,Non-Profit Organization,350.0,b,"150 Glenwood Ln, BIRMINGHAM, AL"
1795,GOODWILL INDUS.-EASTER SEALS,2440 GORDON SMITH DR,MOBILE,AL,36617.0,453310.0,Corporation,499.0,b,"2440 GORDON SMITH DR, MOBILE, AL"
1796,"GOSS ELECTRIC, INC.",137 Woodall RD,DECATUR,AL,35601.0,238210.0,Corporation,130.0,b,"137 Woodall RD, DECATUR, AL"
1797,"GULF ELECTRIC CO., INC. OF MOBILE",4719 HALLS MILL RD,MOBILE,AL,36693.0,238210.0,Subchapter S Corporation,152.0,b,"4719 HALLS MILL RD, MOBILE, AL"
1798,H & M CONSTRUCTION COMPANY,2660 HIGHWAY 43 S,DEMOPOLIS,AL,36732.0,236115.0,Limited  Liability Company(LLC),400.0,b,"2660 HIGHWAY 43 S, DEMOPOLIS, AL"
1799,"H O WEAVER & SONS, INC.",7450 Howells Ferry Rd,MOBILE,AL,36618.0,237310.0,Corporation,201.0,b,"7450 Howells Ferry Rd, MOBILE, AL"
