,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,JobsRetained,LoanCat,full_addr
1652,ACTION ENTERPRISE HOLDINGS LLC,204 20TH ST N,BIRMINGHAM,AL,35203.0,484220.0,Limited  Liability Company(LLC),499.0,a,"204 20TH ST N, BIRMINGHAM, AL"
1653,"ALLIANCE HR, INC",307 CLINTON AVE suite 200,HUNTSVILLE,AL,35801.0,561311.0,Corporation,443.0,a,"307 CLINTON AVE suite 200, HUNTSVILLE, AL"
1654,"AMERICAN FAMILY CARE, INC.",3700 Cahaba Beach Road,BIRMINGHAM,AL,35242.0,621111.0,Subchapter S Corporation,500.0,a,"3700 Cahaba Beach Road, BIRMINGHAM, AL"
1655,"AMERICAN PROMOTIONAL EVENTS, INC.",4511 HELTON DR,FLORENCE,AL,35630.0,424990.0,Subchapter S Corporation,395.0,a,"4511 HELTON DR, FLORENCE, AL"
1656,"ANESTHESIOLOGISTS ASSOCIATES, P.C.",3104 BLUE LAKE DR,VESTAVIA,AL,35243.0,621111.0,Subchapter S Corporation,296.0,a,"3104 BLUE LAKE DR, VESTAVIA, AL"
1657,ARD LOGISTICS-ALABAMA LLC,10093 BROSE DR,VANCE,AL,35490.0,541614.0,Limited  Liability Company(LLC),500.0,a,"10093 BROSE DR, VANCE, AL"
1658,ASSOCIATED GROCERS OF THE SOUTH INC,3600 Vanderbilt Rd,BIRMINGHAM,AL,35217.0,424490.0,Corporation,270.0,a,"3600 Vanderbilt Rd, BIRMINGHAM, AL"
1659,ATS OPERATING LLC,1900 CRESTWOOD BLVD SUITE 302,IRONDALE,AL,35210.0,453310.0,Limited  Liability Company(LLC),250.0,a,"1900 CRESTWOOD BLVD SUITE 302, IRONDALE, AL"
1660,"AUTOMATION PERSONNEL SERVICES, INC.",3500 Colonnade Parkway,BIRMINGHAM,AL,35243.0,561499.0,Subchapter S Corporation,499.0,a,"3500 Colonnade Parkway, BIRMINGHAM, AL"
1661,BALCH & BINGHAM LLP,1901 6TH AVE N Ste 1500,BIRMINGHAM,AL,35203.0,541110.0,Partnership,381.0,a,"1901 6TH AVE N Ste 1500, BIRMINGHAM, AL"
1662,BEVILACQUA RESEARCH CORPORATION,4901 CORPORATE DR Ste B,HUNTSVILLE,AL,35805.0,541330.0,Corporation,343.0,a,"4901 CORPORATE DR Ste B, HUNTSVILLE, AL"
1663,"CAPITOL BUSINESS EQUIPMENT, INC.",PO BOX 1944,MONTGOMERY,AL,36102.0,423420.0,Corporation,438.0,a,"PO BOX 1944, MONTGOMERY, AL"
1664,"CARR, RIGGS & INGRAM, LLC",901 BOLL WEEVIL CIR SUITE 200,ENTERPRISE,AL,36330.0,541211.0,Limited  Liability Company(LLC),0.0,a,"901 BOLL WEEVIL CIR SUITE 200, ENTERPRISE, AL"
1665,"CONTINENTAL AEROSPACE TECHNOLOGIES, INC.",2039 S BROAD ST,MOBILE,AL,36615.0,336414.0,Limited  Liability Company(LLC),464.0,a,"2039 S BROAD ST, MOBILE, AL"
1666,DESHAZO LLC,200 Kilsby Circle,BESSEMER,AL,35022.0,339999.0,Limited  Liability Company(LLC),439.0,a,"200 Kilsby Circle, BESSEMER, AL"
1667,DOTHAN SECURITY INC,600 West Adams ST,DOTHAN,AL,36303.0,561612.0,Subchapter S Corporation,500.0,a,"600 West Adams ST, DOTHAN, AL"
1668,DYNAMIC SECURITY INC,1102 Woodward Ave,MUSCLE SHOALS,AL,35661.0,561612.0,Corporation,10.0,a,"1102 Woodward Ave, MUSCLE SHOALS, AL"
1669,"E.A. RENFROE & COMPANY, INC.",1600 CORPORATE DR,BIRMINGHAM,AL,35242.0,812990.0,Corporation,218.0,a,"1600 CORPORATE DR, BIRMINGHAM, AL"
1670,ENCORE REHABILITATION INC,251 JOHNSTON ST SE STE 200,DECATUR,AL,35601.0,624190.0,Corporation,500.0,a,"251 JOHNSTON ST SE STE 200, DECATUR, AL"
1671,"FACTORY CONNECTION, LLC",2300 Highway 79 South,GUNTERSVILLE,AL,35976.0,448140.0,Corporation,85.0,a,"2300 Highway 79 South, GUNTERSVILLE, AL"
1672,"FELDER SERVICES, LLC",3400 N Beltline Park Dr,MOBILE,AL,36617.0,561720.0,Subchapter S Corporation,500.0,a,"3400 N Beltline Park Dr, MOBILE, AL"
1673,"GENERAL SOUTHERN INDUSTRIES, INC.",15825 Alabama 243,RUSSELLVILLE,AL,35654.0,332312.0,Corporation,374.0,a,"15825 Alabama 243, RUSSELLVILLE, AL"
1674,HOMETOWN LENDERS,350 THE BRIDGE ST SUITE 200,HUNTSVILLE,AL,35806.0,522310.0,Corporation,393.0,a,"350 THE BRIDGE ST SUITE 200, HUNTSVILLE, AL"
1675,"IHP OPERATIONS , LLC",1769 LAWRENCE ST E,RUSSELLVILLE,AL,35654.0,333414.0,Limited  Liability Company(LLC),499.0,a,"1769 LAWRENCE ST E, RUSSELLVILLE, AL"
1676,J & M TANK LINES INC.,7501 Meadowlark Drive,BIRMINGHAM,AL,35242.0,484230.0,Corporation,250.0,a,"7501 Meadowlark Drive, BIRMINGHAM, AL"
1677,"JOHNSON CONTRACTORS, INC.",3635 2ND STREET,MUSCLE SHOALS,AL,35661.0,213112.0,Corporation,368.0,a,"3635 2ND STREET, MUSCLE SHOALS, AL"
1678,"LEGACY CABINETS, INC.",285 LEGACY BLVD,EASTABOGA,AL,36260.0,337110.0,Corporation,500.0,a,"285 LEGACY BLVD, EASTABOGA, AL"
1679,"MAGNOLIA RIVER SERVICES, INC.",711 Nance Ford Rd SW Suite E,HARTSELLE,AL,35640.0,541360.0,Subchapter S Corporation,400.0,a,"711 Nance Ford Rd SW Suite E, HARTSELLE, AL"
1680,"MAILSOUTH, INC.",5901 HIGHWAY 52 E,HELENA,AL,35080.0,541810.0,Corporation,0.0,a,"5901 HIGHWAY 52 E, HELENA, AL"
1681,"MAPLES INDUSTRIES, INC.",2210 Moody Ridge Rd,SCOTTSBORO,AL,35768.0,314110.0,Corporation,500.0,a,"2210 Moody Ridge Rd, SCOTTSBORO, AL"
1682,"MAYNARD COOPER & GALE, PC.",1901 6TH AVE N Ste 2400,BIRMINGHAM,AL,35203.0,541110.0,Corporation,465.0,a,"1901 6TH AVE N Ste 2400, BIRMINGHAM, AL"
1683,"MONTGOMERY TRANSPORT, LLC",2563 COMMERCE CIRCLE,BIRMINGHAM,AL,35217.0,484121.0,Limited  Liability Company(LLC),500.0,a,"2563 COMMERCE CIRCLE, BIRMINGHAM, AL"
1684,NAPHCARE US INC,2090 Columbiana Road,VESTAVIA HILLS,AL,35216.0,621399.0,Corporation,499.0,a,"2090 Columbiana Road, VESTAVIA HILLS, AL"
1685,NLOGIC LLC,4901 Corporate,HUNTSVILLE,AL,35805.0,541110.0,Limited  Liability Company(LLC),310.0,a,"4901 Corporate, HUNTSVILLE, AL"
1686,NORTON LILLY INTERNATIONAL INC,1 SAINT LOUIS CENTRE STE 5000,MOBILE,AL,36602.0,488510.0,Corporation,413.0,a,"1 SAINT LOUIS CENTRE STE 5000, MOBILE, AL"
1687,ONCOLOGY SPECIALTIES PC,2601 CCI DR,HUNTSVILLE,AL,35805.0,621112.0,Corporation,440.0,a,"2601 CCI DR, HUNTSVILLE, AL"
1688,"PARKER TOWING COMPANY, INC.",1001 3RD ST,NORTHPORT,AL,35476.0,483211.0,Corporation,373.0,a,"1001 3RD ST, NORTHPORT, AL"
1689,"PIGGLY WIGGLY ALABAMA DISTRIBUTING COMPANY, INC",2400 J Terrell Wooten Drive,BESSEMER,AL,35020.0,424410.0,Corporation,410.0,a,"2400 J Terrell Wooten Drive, BESSEMER, AL"
1690,"PINNACLE SOLUTIONS, INC.",5030 BRADFORD DR,HUNTSVILLE,AL,35805.0,336413.0,Corporation,419.0,a,"5030 BRADFORD DR, HUNTSVILLE, AL"
1691,"QUALITY RESTAURANT CONCEPTS, LLC",VESTAVIA PKWY,VESTAVIA,AL,35216.0,722513.0,Limited  Liability Company(LLC),500.0,a,"VESTAVIA PKWY, VESTAVIA, AL"
1692,RUSKEN PACKAGING INC,64 Walnut St NW,CULLMAN,AL,35055.0,322211.0,Subchapter S Corporation,500.0,a,"64 Walnut St NW, CULLMAN, AL"
1693,"SCOTCH PLYWOOD COMPANY, INC.",38 PO BOX,FULTON,AL,36446.0,321212.0,Subchapter S Corporation,426.0,a,"38 PO BOX, FULTON, AL"
1694,SECURITY ENGINEERS INC,1617 3rd Ave N,BIRMINGHAM,AL,35203.0,561612.0,Corporation,500.0,a,"1617 3rd Ave N, BIRMINGHAM, AL"
1695,"SIROTE & PERMUTT, PC",2311 HIGHLAND AVE,BIRMINGHAM,AL,35205.0,541110.0,Corporation,169.0,a,"2311 HIGHLAND AVE, BIRMINGHAM, AL"
1696,"SOUTHERN FOODSERVICE MANAGEMENT, INC.",431 OFFICE PARK DR 1st Floor,MOUNTAIN BRK,AL,35223.0,722511.0,Corporation,500.0,a,"431 OFFICE PARK DR 1st Floor, MOUNTAIN BRK, AL"
1697,SOUTHERN RESEARCH INSTITUTE,2000 9TH AVE,BIRMINGHAM,AL,35205.0,541715.0,Non-Profit Organization,424.0,a,"2000 9TH AVE, BIRMINGHAM, AL"
1698,SUMMITMEDIA LLC,2700 CORPORATE DR SUITE 115,BIRMINGHAM,AL,35242.0,515112.0,Limited  Liability Company(LLC),349.0,a,"2700 CORPORATE DR SUITE 115, BIRMINGHAM, AL"
1699,"SUNSHINE MILLS, INC.",500 6TH ST SW,RED BAY,AL,35582.0,311111.0,Subchapter S Corporation,500.0,a,"500 6TH ST SW, RED BAY, AL"
1700,"SYSTEM STUDIES & SIMULATION, INC.",615 DISCOVERY DRIVE,HUNTSVILLE,AL,35806.0,541690.0,Corporation,262.0,a,"615 DISCOVERY DRIVE, HUNTSVILLE, AL"
1701,"THE ORTHOPAEDIC CENTER, PC","927 Franklin Street 3rd floor,",HUNTSVILLE,AL,35801.0,621111.0,Subchapter S Corporation,460.0,a,"927 Franklin Street 3rd floor, HUNTSVILLE, AL"
1702,"TRIGREEN EQUIPMENT, LLC",1776 TRIGREEN DR,ATHENS,AL,35611.0,423820.0,Limited  Liability Company(LLC),425.0,a,"1776 TRIGREEN DR, ATHENS, AL"
1703,"TURENNE & ASSOCIATES, LLC",365 Industrial Park Blvd,MONTGOMERY,AL,36117.0,623110.0,Limited  Liability Company(LLC),500.0,a,"365 Industrial Park Blvd, MONTGOMERY, AL"
1704,WOOD FRUITTICHER GROCERY COMPANY INC,2900 Alton Road,BIRMINGHAM,AL,35210.0,424410.0,Corporation,377.0,a,"2900 Alton Road, BIRMINGHAM, AL"
9524,ARKANSAS HOSPICE INC,14 PARKSTONE CIR,NORTH LITTLE ROCK,AR,72116.0,623311.0,Non-Profit Organization,441.0,a,"14 PARKSTONE CIR, NORTH LITTLE ROCK, AR"
9525,ARKANSAS PULMONARY CLINIC,9601 BAPTIST HEALTH DR STE 560,LITTLE ROCK,AR,72205.0,621111.0,Sole Proprietorship,5.0,a,"9601 BAPTIST HEALTH DR STE 560, LITTLE ROCK, AR"
9526,"CENTRAL RESEARCH, INC.",122 N. Bloomington St Ste 1,LOWELL,AR,72745.0,561440.0,Corporation,481.0,a,"122 N. Bloomington St Ste 1, LOWELL, AR"
9527,"INCITE REHAB, LLC","824 Salem Road, Suite 210",CONWAY,AR,72034.0,621340.0,Limited  Liability Company(LLC),412.0,a,"824 Salem Road, CONWAY, AR"
9528,"INTIMIDATOR, INC.",1 Bad Boy Blvd,BATESVILLE,AR,72501.0,332911.0,Subchapter S Corporation,266.0,a,"1 Bad Boy Blvd, BATESVILLE, AR"
9530,MATHEWS MANAGEMENT CO,1468 E MOUNTAIN RD,SPRINGDALE,AR,72764.0,722513.0,Limited  Liability Company(LLC),500.0,a,"1468 E MOUNTAIN RD, SPRINGDALE, AR"
9531,"MCC GROUP HOLDINGS, INC.",2300 North Lowell Road,SPRINGDALE,AR,72764.0,238220.0,Corporation,500.0,a,"2300 North Lowell Road, SPRINGDALE, AR"
9532,"MEDICAL ASSOCIATES OF NWA, P.A.",3383 N MANA CT SUITE 201,FAYETTEVILLE,AR,72703.0,621111.0,Professional Association,500.0,a,"3383 N MANA CT SUITE 201, FAYETTEVILLE, AR"
9533,PERFECTVISION MANUFACTURING INC,16101 LaGrande Dr,LITTLE ROCK,AR,72223.0,423620.0,Corporation,391.0,a,"16101 LaGrande Dr, LITTLE ROCK, AR"
9534,RAUSCH COLEMAN DEVELOPMENT GROUP INC,4058 N COLLEGE AVE,FAYETTEVILLE,AR,72703.0,236117.0,Corporation,250.0,a,"4058 N COLLEGE AVE, FAYETTEVILLE, AR"
9535,ROCK DENTAL MISSOURI LLC,500 SHALL ST A,LITTLE ROCK,AR,72202.0,621210.0,Limited  Liability Company(LLC),0.0,a,"500 SHALL ST A, LITTLE ROCK, AR"
9536,"SGOH ACQUISITION, INC",1101 Jackson St SW,GRAVETTE,AR,72736.0,622110.0,Subchapter S Corporation,500.0,a,"1101 Jackson St SW, GRAVETTE, AR"
9537,"SOUTHERN PIPELINE CONSTRUCTION COMPANY, INC.",2600 Eastline Road,SEARCY,AR,72143.0,237120.0,Subchapter S Corporation,223.0,a,"2600 Eastline Road, SEARCY, AR"
9538,SYSTEMS PLANT SERVICES INC,POBOX 11390,EL DORADO,AR,71730.0,236210.0,Corporation,500.0,a,"POBOX 11390, EL DORADO, AR"
9539,"THE PRICE COMPANIES, INC.","218 Midway Route,",MONTICELLO,AR,71655.0,322121.0,Subchapter S Corporation,500.0,a,"218 Midway Route, MONTICELLO, AR"
9540,TRANSCO LINES INC.,401 N Arkansas St,RUSSELLVILLE,AR,72801.0,484121.0,Corporation,463.0,a,"401 N Arkansas St, RUSSELLVILLE, AR"
9541,"VCC, LLC","1 Information Way, Ste. 300",LITTLE ROCK,AR,72202.0,531120.0,Limited  Liability Company(LLC),266.0,a,"1 Information Way, LITTLE ROCK, AR"
9542,WELSPUN PIPES INC,9301 FRAZIER PIKE,LITTLE ROCK,AR,72206.0,331210.0,Limited  Liability Company(LLC),500.0,a,"9301 FRAZIER PIKE, LITTLE ROCK, AR"
13799,AKDHC LLC,3333 E CAMELBACK,PHOENIX,AZ,85018.0,621111.0,Limited  Liability Company(LLC),438.0,a,"3333 E CAMELBACK, PHOENIX, AZ"
13800,ALCANTAR MARKETING LLC,3930 E. University Dr,MESA,AZ,85205.0,524130.0,Corporation,2.0,a,"3930 E. University Dr, MESA, AZ"
13801,AMERIFIRST FINANCIAL INC,"1550 E MCKELLIPS RD, STE 117",MESA,AZ,85203.0,523999.0,Subchapter S Corporation,471.0,a,"1550 E MCKELLIPS RD, MESA, AZ"
13802,"ARIZONA COMMUNITY PHYSICIANS, P.C.",5055 E BROADWAY BLVD Ste A100,TUCSON,AZ,85711.0,621111.0,Corporation,500.0,a,"5055 E BROADWAY BLVD Ste A100, TUCSON, AZ"
13803,ATRIUM FINANCE I LP,2398 E CAMELBACK RD STE 1000,PHOENIX,AZ,85016.0,721110.0,Partnership,0.0,a,"2398 E CAMELBACK RD STE 1000, PHOENIX, AZ"
13804,"CANNON & WENDT ELECTRIC CO., INC.",4020 N. 16th St.,PHOENIX,AZ,85016.0,238210.0,Employee Stock Ownership Plan(ESOP),0.0,a,"4020 N. 16th St., PHOENIX, AZ"
13806,"CONNECTIONS HEALTH SOLUTIONS, LLC",2394 E CAMELBACK RD STE 200,PHOENIX,AZ,85016.0,621420.0,Limited  Liability Company(LLC),500.0,a,"2394 E CAMELBACK RD STE 200, PHOENIX, AZ"
13807,"CONSTRUCTION GROUP STAFFING, LLC",8712 E Via de Commercia Suite 2,SCOTTSDALE,AZ,85258.0,561320.0,Subchapter S Corporation,500.0,a,"8712 E Via de Commercia Suite 2, SCOTTSDALE, AZ"
13808,"DAWG, INC.",15685 N CAVE CREEK RD,PHOENIX,AZ,85032.0,561320.0,Subchapter S Corporation,349.0,a,"15685 N CAVE CREEK RD, PHOENIX, AZ"
13809,"DESERT STONE ARCH PROPERTIES, LLC (EPC)",2810 S. SOSSAMAN RD STE 106,MESA,AZ,85212.0,561710.0,Limited  Liability Company(LLC),500.0,a,"2810 S. SOSSAMAN RD STE 106, MESA, AZ"
13810,"EVO TRANSPORTATION & ENERGY SERVICES, INC.",2075 West Pinnacle Peak Rd. Ste. 130,PHOENIX,AZ,85027.0,488510.0,Corporation,500.0,a,"2075 West Pinnacle Peak Rd. Ste. 130, PHOENIX, AZ"
13812,HAYDON BUILDING CORP,4640 EAST COTTON GIN LOOP,PHOENIX,AZ,85040.0,236220.0,Corporation,436.0,a,"4640 EAST COTTON GIN LOOP, PHOENIX, AZ"
13813,HEALTH SERVICES HOLDINGS INC,3133 East Camelback Road,PHOENIX,AZ,85016.0,621111.0,Corporation,378.0,a,"3133 East Camelback Road, PHOENIX, AZ"
13814,"HOME HEALTH AGENCY - ARIZONA, LLC",2999 N44th Street Suite 100,PHOENIX,AZ,85018.0,621610.0,Limited  Liability Company(LLC),500.0,a,"2999 N44th Street Suite 100, PHOENIX, AZ"
13815,"HOMEOWNERS FINANCIAL GROUP USA, LLC",16427 N SCOTTSDALE RD STE 145,SCOTTSDALE,AZ,85254.0,522292.0,Limited  Liability Company(LLC),382.0,a,"16427 N SCOTTSDALE RD STE 145, SCOTTSDALE, AZ"
13816,HOT PIZZAS LLC,3845 Stockton Hill Rd,KINGMAN,AZ,86409.0,722513.0,Subchapter S Corporation,500.0,a,"3845 Stockton Hill Rd, KINGMAN, AZ"
13817,HOT TACOS INC,3845 Stockton Hill Rd,KINGMAN,AZ,86409.0,722513.0,Subchapter S Corporation,500.0,a,"3845 Stockton Hill Rd, KINGMAN, AZ"
13818,INT TECHNOLOGIES LLC,4862 E BASELINE RD STE 104,MESA,AZ,85206.0,541519.0,Limited  Liability Company(LLC),278.0,a,"4862 E BASELINE RD STE 104, MESA, AZ"
13819,"JFQ LENDING, INC",15051 N Kierland Blvd Suite 280,SCOTTSDALE,AZ,85254.0,522310.0,Subchapter S Corporation,305.0,a,"15051 N Kierland Blvd Suite 280, SCOTTSDALE, AZ"
13820,KALIL BOTTLING CO.,P.O. Box 26888 0.0,TUCSON,AZ,85726.0,312111.0,Corporation,500.0,a,"P.O. Box 26888 0.0, TUCSON, AZ"
13821,LEWIS ROCA ROTHGERBER CHRISTIE LLP,201 E. Washington St.,PHOENIX,AZ,85004.0,541110.0,Partnership,418.0,a,"201 E. Washington St., PHOENIX, AZ"
13823,M3 ENGINEERING & TECHNOLOGY CORPORATION,2051 SUNSET RD SUITE 101,TUCSON,AZ,85704.0,541330.0,Corporation,300.0,a,"2051 SUNSET RD SUITE 101, TUCSON, AZ"
13824,MCDONOUGH CORPORATION,21050 North Pima Road Ste 100,SCOTTSDALE,AZ,85255.0,493110.0,Corporation,358.0,a,"21050 North Pima Road Ste 100, SCOTTSDALE, AZ"
13825,"MODERN INDUSTRIES, INC.",4747 E Beautiful Ln,PHOENIX,AZ,85044.0,333242.0,Corporation,478.0,a,"4747 E Beautiful Ln, PHOENIX, AZ"
13826,MOON VALLEY NURSERY FARM HOLDINGS LLC,19820 N 7TH ST STE 260,PHOENIX,AZ,85024.0,111421.0,Limited  Liability Company(LLC),319.0,a,"19820 N 7TH ST STE 260, PHOENIX, AZ"
13827,"MORRISON, EKRE & BART MANAGEMENT SERVICES, INC.",120 E CONGRESS ST,TUCSON,AZ,85701.0,531110.0,Corporation,500.0,a,"120 E CONGRESS ST, TUCSON, AZ"
13828,"MT. GRAHAM REGIONAL MEDICAL CENTER, INC.",1600 S. 20th Avenue,SAFFORD,AZ,85546.0,622110.0,Non-Profit Organization,381.0,a,"1600 S. 20th Avenue, SAFFORD, AZ"
13829,NAVAJO TRIBAL UTILITY AUTHORITY,PO Box 170,FORT DEFIANCE,AZ,86504.0,221122.0,Non-Profit Organization,500.0,a,"PO Box 170, FORT DEFIANCE, AZ"
13830,"NEXTIVA, INC.",8880 E CHAPPARAL RD SUITE 300,SCOTTSDALE,AZ,85250.0,517311.0,Corporation,500.0,a,"8880 E CHAPPARAL RD SUITE 300, SCOTTSDALE, AZ"
13831,"ON Q FINANCIAL, INC.","615 S. River Dr., Ste. 170",TEMPE,AZ,85281.0,522390.0,Subchapter S Corporation,481.0,a,"615 S. River Dr., TEMPE, AZ"
13832,"OREGANO'S PIZZA BISTRO, INC.",8300 N HAYDEN RD STE A207,SCOTTSDALE,AZ,85258.0,722511.0,Corporation,500.0,a,"8300 N HAYDEN RD STE A207, SCOTTSDALE, AZ"
13833,ORTHOPEDIC SPECIALISTS OF NORTH AMERICA PLLC,4222 E THOMAS RD STE 250,PHOENIX,AZ,85018.0,621111.0,Limited  Liability Company(LLC),500.0,a,"4222 E THOMAS RD STE 250, PHOENIX, AZ"
13834,"P.F. CHANG'S CHINA BISTRO, INC.",8377 E HARTFORD DR Ste 200,SCOTTSDALE,AZ,85255.0,722511.0,Corporation,500.0,a,"8377 E HARTFORD DR Ste 200, SCOTTSDALE, AZ"
13835,"PAUL JOHNSON DRYWALL, INC.",1620 WILLOW CREEK RD,PRESCOTT,AZ,86301.0,238310.0,Subchapter S Corporation,200.0,a,"1620 WILLOW CREEK RD, PRESCOTT, AZ"
13836,PLEXUS WORLDWIDE LLC,15649 GREENWAY HAYDEN LOOP,SCOTTSDALE,AZ,85260.0,423110.0,Limited  Liability Company(LLC),250.0,a,"15649 GREENWAY HAYDEN LOOP, SCOTTSDALE, AZ"
13837,"PUEBLO MECHANICAL AND CONTROLS, LLC",6771 E OUTLOOK DR,TUCSON,AZ,85756.0,238220.0,Subchapter S Corporation,480.0,a,"6771 E OUTLOOK DR, TUCSON, AZ"
13838,RANGO INC,4215 E McDowell Rd,MESA,AZ,85215.0,238990.0,Subchapter S Corporation,420.0,a,"4215 E McDowell Rd, MESA, AZ"
13839,"ROMULUS RESTAURANTS, LLC",1048 n 44th street suite 210,PHOENIX,AZ,85008.0,722511.0,Limited  Liability Company(LLC),500.0,a,"1048 n 44th street suite 210, PHOENIX, AZ"
13840,"SDB, INC.",1001 S Edward Dr,TEMPE,AZ,85281.0,236220.0,Subchapter S Corporation,250.0,a,"1001 S Edward Dr, TEMPE, AZ"
13841,"SDI SERVICES, LLC",9700 N 91st St. STE C200,SCOTTSDALE,AZ,85258.0,621512.0,Limited  Liability Company(LLC),250.0,a,"9700 N 91st St. STE C200, SCOTTSDALE, AZ"
13842,SERRATO CORPORATION,135 COUNCIL ST W,TUCSON,AZ,85701.0,611519.0,Corporation,500.0,a,"135 COUNCIL ST W, TUCSON, AZ"
13843,"SFE HOLDINGS, LLC",9366 East Raintree Drive,SCOTTSDALE,AZ,85260.0,722310.0,Limited  Liability Company(LLC),500.0,a,"9366 East Raintree Drive, SCOTTSDALE, AZ"
13844,SHARED STAFFING SERVICES LLC,14605 North 73rd St,SCOTTSDALE,AZ,85260.0,561320.0,Limited  Liability Company(LLC),449.0,a,"14605 North 73rd St, SCOTTSDALE, AZ"
13845,"SMI IMAGING, LLC",6900 E Camelback Rd,SCOTTSDALE,AZ,85251.0,621111.0,Limited  Liability Company(LLC),500.0,a,"6900 E Camelback Rd, SCOTTSDALE, AZ"
13846,"STARCORP, LLC","20 E Thomas Rd., Suite 2200",PHOENIX,AZ,85012.0,722513.0,Limited  Liability Company(LLC),500.0,a,"20 E Thomas Rd., PHOENIX, AZ"
13847,"STINE ENTERPRISES, INC.",10851 BLACK CANYON HWY #850,PHOENIX,AZ,85029.0,722513.0,Subchapter S Corporation,0.0,a,"10851 BLACK CANYON HWY #850, PHOENIX, AZ"
13848,"TERROS, INC",3003 N CENTRAL AVE STE 400,PHOENIX,AZ,85012.0,624190.0,Corporation,500.0,a,"3003 N CENTRAL AVE STE 400, PHOENIX, AZ"
13849,TIFFANY & BOSCO P.A.,2525 E CAMELBACK RD,PHOENIX,AZ,85016.0,541110.0,Professional Association,259.0,a,"2525 E CAMELBACK RD, PHOENIX, AZ"
13850,TOTAL TRANSIT INC.,6421 E. LAFAYETTE BLVD,SCOTTSDALE,AZ,85251.0,485111.0,Corporation,485.0,a,"6421 E. LAFAYETTE BLVD, SCOTTSDALE, AZ"
13851,"UPWARD PROJECTS HOLDINGS, LLC",3443 N CENTRAL AVE,PHOENIX,AZ,85012.0,722511.0,Limited  Liability Company(LLC),500.0,a,"3443 N CENTRAL AVE, PHOENIX, AZ"
13852,"US TRADES, L.L.C.",7100 E Cave Creek Rd Suite 118,CAVE CREEK,AZ,85331.0,561320.0,Corporation,330.0,a,"7100 E Cave Creek Rd Suite 118, CAVE CREEK, AZ"
13853,"V.I.P. MORTGAGE, INC.",9921 E VIA DE VENTURA,SCOTTSDALE,AZ,85258.0,522292.0,Corporation,441.0,a,"9921 E VIA DE VENTURA, SCOTTSDALE, AZ"
13854,VINCENTBENJAMIN GROUP LLC,2415 E Camelback Rd Ste 1000,PHOENIX,AZ,85016.0,561311.0,Limited  Liability Company(LLC),500.0,a,"2415 E Camelback Rd Ste 1000, PHOENIX, AZ"
13855,"W2005 WKI REALTY, LLC",2398 E CAMELBACK RD,PHOENIX,AZ,85016.0,721110.0,Limited  Liability Company(LLC),442.0,a,"2398 E CAMELBACK RD, PHOENIX, AZ"
